longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
0, 23:59:47,0,0,0.01,125,4104,0,0
0, 23:59:47,0,0,0.01,125,4104,0,0
0, 23:59:51,0,0,0.2,117,4104,0,0
0, 23:59:51,0,0,0.2,117,4104,0,0
0, 12:2:23,0,0,0.2,127,4104,0,0
0, 12:2:23,0,0,0.2,127,4104,0,0
0, 12:2:27,0,0,0.01,143,4104,0,0
0, 12:2:27,0,0,0.01,143,4104,0,0
0, 12:2:31,0,0,0.11,151,4104,0,0
0, 12:2:31,0,0,0.11,151,4104,0,0
0, 12:2:35,0,0,0.11,149,4104,0,0
0, 12:2:35,0,0,0.11,149,4104,0,0
0, 12:2:39,95,4,0.2,160,4104,0,0
0, 12:2:39,95,9,0.2,160,4104,0,0
0, 12:2:43,64,9,0.11,155,4104,0,0
0, 12:2:43,64,9,0.11,155,4104,0,0
0, 12:2:47,64,9,0.2,165,4104,0,0
0, 12:2:47,64,9,0.2,165,4104,0,0
0, 12:2:51,64,8,0.2,162,4104,0,0
0, 12:2:51,65,8,0.2,162,4104,0,0
0, 12:2:55,65,8,0.3,112,4104,0,0
0, 12:2:55,65,8,0.3,112,4104,0,0
0, 12:2:59,65,8,0.2,110,4104,0,0
0, 12:2:59,65,8,0.2,110,4104,0,0
0, 12:3:3,65,8,0.01,115,4104,0,0
0, 12:3:3,65,7,0.01,115,4104,0,0
0, 12:3:7,65,7,0.69,106,4104,0,0
0, 12:3:7,65,7,0.69,106,4104,0,0
0, 12:3:11,65,7,0.59,162,4104,0,0
0, 12:3:11,65,7,0.59,162,4104,0,0
0, 12:3:15,65,6,0.5,141,4104,0,0
0, 12:3:15,66,6,0.5,141,4104,0,0
0, 12:3:19,0,0,0.4,135,4104,0,0
0, 12:3:19,9,6,0.4,135,4104,0,0
0, 12:3:23,67,6,0.11,95,4104,0,0
0, 12:3:45,68,5,0.5,132,4104,0,0
0, 12:3:46,69,4,0.5,132,4104,0,0
0, 12:3:48,69,3,0.5,132,4104,0,0
0, 12:3:50,69,3,0.5,132,4104,0,0
0, 12:3:52,70,4,0.5,132,4104,0,0
0, 12:3:54,70,3,0.5,132,4104,0,51.974956
7.57558, 12:3:58,0,0,0.2,139,4104,0,51.974956
7.57558, 12:3:58,70,3,0.2,139,4104,0,51.975025
7.575547, 12:4:3,0,0,0.4,143,4104,0,51.975048
7.575535, 12:4:6,0,0,0.79,152,4104,0,51.975048
7.575535, 12:4:6,70,3,0.79,152,4104,0,51.975074
7.575527, 12:4:11,0,0,0.4,134,4104,0,51.975074
7.575527, 12:4:11,71,2,0.4,134,4104,0,51.975082
7.575535, 12:4:16,0,0,0.69,119,4104,0,51.975082
7.575535, 12:4:16,72,2,0.69,119,4104,0,51.97507
7.575545, 12:4:21,0,0,1.18,102,4104,0,51.97507
7.575545, 12:4:21,21,1,1.18,102,4104,0,51.975063
7.57554, 12:4:26,0,0,1.28,106,4104,0,51.975063
7.57554, 12:4:26,21,1,1.28,106,4104,0,51.975063
7.57554, 12:4:31,0,0,0.89,100,4104,0,51.975063
7.57554, 12:4:34,0,0,1.18,105,4104,0,51.975063
7.57554, 12:4:34,38,1,1.18,105,4104,0,51.975063
7.57554, 12:4:39,0,0,0.98,94,4104,0,51.975063
7.57554, 12:4:39,69,1,0.98,94,4104,0,51.975063
7.57554, 12:4:44,66,1,1.08,97,4104,0,51.975063
7.57554, 12:4:44,72,1,1.08,97,4104,0,51.975063
7.57554, 12:4:49,0,0,0.79,97,4104,0,51.975063
7.57554, 12:4:49,0,0,0.79,97,4104,0,51.975063
7.57554, 12:4:54,0,0,0.89,104,4104,0,51.975063
7.57554, 12:4:54,71,1,0.89,104,4104,0,51.975009
7.575521, 12:4:59,0,0,0.59,86,4104,0,51.975009
7.575521, 12:4:59,71,1,0.59,86,4104,0,51.974983
7.575512, 12:5:4,0,0,0.98,99,4104,0,51.97496
7.57549, 12:5:7,0,0,0.89,105,4104,0,51.974956
7.575488, 12:5:10,0,0,0.5,108,4104,0,51.974956
7.575488, 12:5:10,78,1,0.5,108,4104,0,51.974956
7.575488, 12:5:15,0,0,0.59,115,4104,0,51.974956
7.575488, 12:5:15,64,21,0.59,115,4104,0,51.974956
7.575488, 12:5:20,0,0,0.4,115,4104,0,51.974956
7.575488, 12:5:20,0,0,0.4,115,4104,0,51.974956
7.575488, 12:5:25,0,0,0.59,108,4104,0,51.974956
7.575488, 12:5:25,78,1,0.59,108,4104,0,51.974956
7.575488, 12:5:30,0,0,0.3,114,4104,0,51.974956
7.575488, 12:5:30,0,0,0.3,114,4104,0,51.974956
7.575488, 12:5:35,0,0,0.5,114,4104,0,51.974956
7.575488, 12:5:35,0,0,0.5,114,4104,0,51.974956
7.575488, 12:5:40,0,0,0.5,113,4104,0,51.974956
7.575488, 12:5:40,0,0,0.5,113,4104,0,51.974956
7.575488, 12:5:45,0,0,0.69,123,4104,0,51.974956
7.575488, 12:5:45,0,0,0.69,123,4104,0,51.974956
7.575488, 12:5:50,0,0,0.69,131,4104,0,51.974956
7.575488, 12:5:50,81,1,0.69,131,4104,0,51.974956
7.575488, 12:5:55,0,0,0.79,131,4104,0,51.974956
7.575488, 12:5:55,0,0,0.79,131,4104,0,51.974956
7.575488, 12:6:0,0,0,0.69,147,4104,0,51.974956
7.575488, 12:6:0,83,1,0.69,147,4104,0,51.974956
7.575488, 12:6:5,0,0,0.5,132,4104,0,51.974956
7.575488, 12:6:5,0,0,0.5,132,4104,0,51.974956
7.575488, 12:6:10,0,0,0.59,138,4104,0,51.974956
7.575488, 12:6:10,0,0,0.59,138,4104,0,51.974956
7.575488, 12:6:15,0,0,0.79,136,4104,0,51.974956
7.575488, 12:6:15,0,0,0.79,136,4104,0,51.974956
7.575488, 12:6:20,0,0,0.69,133,4104,0,51.974956
7.575488, 12:6:20,0,0,0.69,133,4104,0,51.974956
7.575488, 12:6:25,0,0,0.79,133,4104,0,51.974956
7.575488, 12:6:25,87,1,0.79,133,4104,0,51.974956
7.575488, 12:6:30,0,0,0.89,135,4104,0,51.974956
7.575488, 12:6:30,82,1,0.89,135,4104,0,51.974956
7.575488, 12:6:35,0,0,0.69,136,4104,0,51.974956
7.575488, 12:6:35,83,1,0.69,136,4104,0,51.974956
7.575488, 12:6:40,0,0,0.69,134,4104,0,51.974956
7.575488, 12:6:40,84,1,0.69,134,4104,0,51.974956
7.575488, 12:6:45,0,0,-0.09,131,4104,0,51.974956
7.575488, 12:6:45,0,0,-0.09,131,4104,0,51.97504
7.575376, 12:6:50,0,0,0.5,131,4104,0,51.97504
7.575376, 12:6:50,0,0,0.5,131,4104,0,51.975013
7.575363, 12:6:55,0,0,0.3,131,4104,0,51.975013
7.575363, 12:6:55,0,0,0.3,131,4104,0,51.975009
7.575363, 12:7:0,0,0,0.3,134,4104,0,51.975009
7.575363, 12:7:0,84,1,0.3,134,4104,0,51.975009
7.575363, 12:7:5,0,0,0.5,132,4104,0,51.975009
7.575363, 12:7:5,81,7,0.5,132,4104,0,51.975009
7.575363, 12:7:10,0,0,0.59,130,4104,0,51.975009
7.575363, 12:7:10,0,0,0.59,130,4104,0,51.975009
7.575363, 12:7:15,0,1,0.4,135,4104,0,51.975009
7.575363, 12:7:15,0,0,0.4,135,4104,0,51.974925
7.575323, 12:7:20,0,0,0.5,135,4104,0,51.974925
7.575323, 12:7:20,0,0,0.5,135,4104,0,51.974994
7.57538, 12:7:25,0,0,0.59,138,4104,0,51.974994
7.57538, 12:7:25,85,1,0.59,138,4104,0,51.974994
7.57538, 12:7:30,0,0,0.5,135,4104,0,51.974994
7.57538, 12:7:30,83,4,0.5,135,4104,0,51.974994
7.57538, 12:7:35,0,0,0.3,133,4104,0,51.974994
7.57538, 12:7:35,83,1,0.3,133,4104,0,51.975147
7.575553, 12:7:40,0,0,0.79,137,4104,0,51.975147
7.575553, 12:7:40,0,0,0.79,137,4104,0,51.97517
7.575617, 12:7:45,0,0,0.98,137,4104,0,51.97517
7.575617, 12:7:45,0,0,0.98,137,4104,0,51.975154
7.575642, 12:7:50,0,0,0.98,137,4104,0,51.975154
7.575642, 12:7:50,88,1,0.98,137,4104,0,51.975135
7.575645, 12:7:55,0,0,0.69,133,4104,0,51.975135
7.575645, 12:7:55,86,1,0.69,133,4104,0,51.975128
7.57564, 12:8:0,0,0,0.5,134,4104,0,51.975128
7.57564, 12:8:0,0,0,0.5,134,4104,0,51.975128
7.57564, 12:8:5,0,0,0.79,133,4104,0,51.975128
7.57564, 12:8:8,0,0,0.79,132,4104,0,51.975128
7.57564, 12:8:8,0,0,0.79,132,4104,0,51.975128
7.57564, 12:8:13,0,0,0.79,130,4104,0,51.975128
7.57564, 12:8:13,0,0,0.79,130,4104,0,51.975128
7.57564, 12:8:18,0,0,0.79,126,4104,0,51.975128
7.57564, 12:8:18,0,0,0.79,126,4104,0,51.975128
7.57564, 12:8:23,0,0,0.89,116,4104,0,51.975128
7.57564, 12:8:23,0,0,0.89,116,4104,0,51.975009
7.57554, 12:8:28,0,0,0.59,111,4104,0,51.975009
7.57554, 12:8:28,0,0,0.59,111,4104,0,51.974998
7.575525, 12:8:33,0,0,0.69,113,4104,0,51.974998
7.575525, 12:8:33,0,0,0.69,113,4104,0,51.974998
7.575525, 12:8:38,0,0,0.59,117,4104,0,51.974998
7.575525, 12:8:41,0,0,0.79,118,4104,0,51.974998
7.575525, 12:8:41,0,0,0.79,118,4104,0,51.974998
7.575525, 12:8:46,0,0,0.79,123,4104,0,51.974998
7.575525, 12:8:52,0,0,0.59,119,4104,0,51.974998
7.575525, 12:8:52,0,0,0.59,119,4104,0,51.974998
7.575525, 12:8:57,0,0,0.5,105,4104,0,51.974998
7.575525, 12:8:57,0,0,0.5,105,4104,0,51.974979
7.575479, 12:9:2,0,0,0.59,103,4104,0,51.974979
7.575479, 12:9:2,0,0,0.59,103,4104,0,51.974979
7.575483, 12:9:7,0,0,0.59,102,4104,0,51.974979
7.575483, 12:9:7,0,0,0.59,102,4104,0,51.974979
7.575483, 12:9:12,0,0,0.2,102,4104,0,51.974979
7.575483, 12:9:12,0,0,0.2,102,4104,0,51.974979
7.575483, 12:9:17,0,0,0.69,103,4104,0,51.974979
7.575483, 12:9:17,0,0,0.69,103,4104,0,51.974979
7.575483, 12:9:22,0,0,0.59,102,4104,0,51.974979
7.575483, 12:9:22,0,0,0.59,102,4104,0,51.974979
7.575483, 12:9:27,0,0,0.4,105,4104,0,51.974979
7.575483, 12:9:27,87,1,0.4,105,4104,0,51.974979
7.575483, 12:9:32,0,0,0.4,108,4104,0,51.974979
7.575483, 12:9:32,0,0,0.4,108,4104,0,51.974979
7.575483, 12:9:37,0,0,0.59,106,4104,0,51.974979
7.575483, 12:9:37,0,0,0.59,106,4104,0,51.974979
