longitude,time,humidity,temperature,windspeed,soundvalue,lux,distance,latitude
7.575368, 5:9:35,0,0,0.01,244,0,0,51.975063
7.575368, 5:9:39,0,0,0.2,265,0,0,51.975063
7.575368, 5:9:39,0,0,0.2,265,0,0,51.975063
7.575368, 5:9:42,0,0,0.01,285,0,0,51.975063
7.575368, 5:9:42,0,0,0.01,285,0,0,51.975063
7.575368, 5:9:45,0,0,0.11,293,1,0,51.975063
7.575368, 5:9:45,2,0,0.11,293,1,0,51.975063
7.575368, 5:9:48,0,0,0.01,305,1,0,51.975063
7.575368, 5:9:48,1,0,0.01,305,1,0,51.975063
7.575368, 5:9:51,81,5,-0.09,317,0,0,51.974952
7.57564, 5:10:12,0,0,0.11,275,0,3,51.974952
7.57564, 5:10:16,0,0,0.3,285,1,2,51.974952
7.57564, 5:10:16,0,0,0.3,285,1,0,51.974952
7.57564, 5:10:19,82,5,0.2,307,1,2,51.974952
7.57564, 5:10:19,82,5,0.2,307,1,0,51.974952
7.57564, 5:10:22,0,0,0.2,319,1,2,51.974952
7.57564, 5:10:22,0,0,0.2,319,1,0,51.974952
7.57564, 5:10:25,81,5,0.3,330,0,3,51.974952
7.57564, 5:10:25,81,5,0.3,330,0,0,51.974952
7.57564, 5:10:28,0,0,0.01,338,0,3,51.974952
7.57564, 5:10:28,0,0,0.01,338,0,0,51.974952
7.57564, 5:10:31,0,0,0.3,343,1,3,51.974952
7.57564, 5:10:31,0,0,0.3,343,1,0,51.974952
7.57564, 5:10:34,0,0,-0.09,351,0,4,51.974952
7.57564, 5:10:34,0,0,-0.09,351,0,0,51.974952
7.57564, 5:10:37,0,0,0.01,353,0,13,51.974952
7.57564, 5:10:37,0,0,0.01,353,0,1,51.974952
7.57564, 5:10:39,0,5,-0.09,351,0,13,51.974952
7.57564, 5:10:39,82,5,-0.09,351,0,1,51.974952
7.57564, 5:10:41,82,5,-0.38,353,0,13,51.974952
7.57564, 5:10:41,82,5,-0.38,353,0,0,51.974952
7.57564, 5:10:44,82,5,-0.09,357,1,13,51.974952
7.57564, 5:10:44,82,5,-0.09,357,1,1,51.974952
7.57564, 5:10:46,82,5,-0.09,358,1,13,51.974952
7.57564, 5:10:46,82,5,-0.09,358,1,1,51.974952
7.57564, 5:10:48,82,4,0.01,356,0,16,51.974952
7.57564, 5:10:48,83,4,0.01,356,0,1,51.974952
7.57564, 5:10:50,83,4,-0.09,358,0,16,51.974952
7.57564, 5:10:50,82,5,-0.09,358,0,1,51.974952
7.57564, 5:10:52,82,5,-0.09,361,0,18,51.974952
7.57564, 5:10:52,83,4,-0.09,361,0,1,51.974952
7.57564, 5:10:54,83,4,-0.09,362,0,18,51.974952
7.57564, 5:10:54,83,4,-0.09,362,0,1,51.974952
7.57564, 5:10:56,83,4,-0.09,360,0,20,51.974952
7.57564, 5:10:56,83,4,-0.09,360,0,1,51.974952
7.57564, 5:10:58,83,4,-0.19,365,1,21,51.974952
7.57564, 5:10:58,83,0,-0.19,365,1,1,51.974952
7.57564, 5:11:0,2,0,-0.09,365,1,22,51.974952
7.57564, 5:11:0,2,0,-0.09,365,1,1,51.974952
7.57564, 5:11:2,0,0,0.11,367,1,22,51.974952
7.57564, 5:11:2,0,0,0.11,367,1,1,51.974952
7.57564, 5:11:4,0,0,0.11,365,1,21,51.974952
7.57564, 5:11:4,0,0,0.11,365,1,1,51.974952
7.57564, 5:11:6,1,0,-0.19,369,0,23,51.974952
7.57564, 5:11:6,1,0,-0.19,369,0,1,51.974952
7.57564, 5:11:8,83,4,0.01,369,1,23,51.974952
7.57564, 5:11:8,83,4,0.01,369,1,1,51.974952
7.57564, 5:11:10,0,0,0.11,369,0,23,51.974952
7.57564, 5:11:10,0,0,0.11,369,0,1,51.974952
7.57564, 5:11:12,0,4,-0.09,372,0,23,51.974952
7.57564, 5:11:12,83,4,-0.09,372,0,1,51.974952
7.57564, 5:11:14,83,4,0.01,372,0,23,51.974952
7.57564, 5:11:14,83,4,0.01,372,0,1,51.974952
7.57564, 5:11:16,83,4,0.11,373,0,22,51.974952
7.57564, 5:11:16,83,4,0.11,373,0,1,51.974952
7.57564, 5:11:18,83,4,0.01,374,1,23,51.974952
7.57564, 5:11:18,83,4,0.01,374,1,1,51.974952
7.57564, 5:11:20,83,4,-0.19,374,1,22,51.974952
7.57564, 5:11:20,83,4,-0.19,374,1,1,51.974952
7.57564, 5:11:22,83,4,-0.09,376,1,22,51.974952
7.57564, 5:11:22,83,0,-0.09,376,1,0,51.974952
7.57564, 5:11:25,0,0,-0.19,379,0,23,51.974952
7.57564, 5:11:25,0,0,-0.19,379,0,0,51.974952
7.57564, 5:11:28,0,0,0.11,382,1,23,51.974952
7.57564, 5:11:28,0,0,0.11,382,1,1,51.974952
7.57564, 5:11:30,84,4,-0.09,379,1,23,51.974952
7.57564, 5:11:30,84,4,-0.09,379,1,1,51.974952
7.57564, 5:11:32,0,1,0.11,380,0,22,51.974952
7.57564, 5:11:32,0,1,0.11,380,0,1,51.974952
7.57564, 5:11:34,0,4,-0.29,379,0,23,51.974952
7.57564, 5:11:34,84,4,-0.29,379,0,23,51.974952
7.57564, 5:11:35,84,4,-0.19,386,1,23,51.974952
7.57564, 5:11:35,84,4,-0.19,386,1,1,51.974952
7.57564, 5:11:37,84,4,0.01,384,0,22,51.974952
7.57564, 5:11:37,84,4,0.01,384,0,1,51.974952
7.57564, 5:11:38,84,4,0.01,391,0,23,51.974952
7.57564, 5:11:39,0,0,0.11,390,1,23,51.974952
7.57564, 5:11:39,0,0,0.11,390,1,1,51.974952
7.57564, 5:11:41,0,4,0.2,389,1,22,51.974952
7.57564, 5:11:41,84,4,0.2,389,1,1,51.974952
7.57564, 5:11:42,84,4,0.11,395,0,23,51.974952
7.57564, 5:11:43,84,4,0.11,395,0,23,51.974952
7.57564, 5:11:43,84,4,0.11,395,0,1,51.974952
7.57564, 5:11:43,84,4,-0.19,393,0,23,51.974952
7.57564, 5:11:45,84,4,-0.19,394,0,23,51.974952
7.57564, 5:11:45,84,4,-0.19,394,0,1,51.974952
7.57564, 5:11:47,84,4,-0.38,396,0,23,51.974952
7.57564, 5:11:47,84,0,-0.38,396,0,1,51.974952
7.57564, 5:11:49,0,0,0.01,395,0,23,51.974952
7.57564, 5:11:49,0,0,0.01,395,0,1,51.974952
7.57564, 5:11:51,0,0,-0.09,409,0,23,51.974952
7.57564, 5:11:51,0,0,-0.09,409,0,1,51.974952
7.57564, 5:11:52,84,4,-0.19,413,1,24,51.974952
7.57564, 5:11:53,84,4,-0.09,416,0,23,51.974952
7.57564, 5:11:53,84,4,-0.09,416,0,1,51.974952
7.57564, 5:11:54,84,4,0.01,418,1,22,51.974952
7.57564, 5:11:55,84,4,0.11,414,0,23,51.974952
7.57564, 5:11:55,84,4,0.11,414,0,1,51.974952
7.57564, 5:11:55,84,4,-0.29,415,1,23,51.974952
7.57564, 5:11:57,84,4,0.01,415,1,23,51.974952
7.57564, 5:11:57,84,4,0.01,415,1,1,51.974952
7.57564, 5:11:59,0,0,0.11,408,1,23,51.974952
7.57564, 5:11:59,0,0,0.11,408,1,1,51.974952
7.57564, 5:12:1,0,4,0.01,410,1,23,51.974952
