longitude,time,humidity,temperature,windspeed,soundvalue,distance,,latitude
7.57496, 9:59:21,0,0,-0.29,14,1088,0,51.975143
7.57496, 9:59:21,81,10,-0.29,14,1088,0,51.975162
7.574925, 9:59:26,0,0,-0.19,14,1085,0,51.975162
7.574925, 9:59:26,81,10,-0.19,14,1085,0,51.975177
7.574887, 9:59:31,0,0,-0.19,16,1077,0,51.975177
7.574887, 9:59:31,81,10,-0.19,16,1077,0,51.975177
7.574887, 9:59:36,0,0,-0.09,15,1069,0,51.975177
7.574887, 9:59:36,81,10,-0.09,15,1069,0,51.975177
7.574887, 9:59:41,0,0,-0.09,16,1062,0,51.975177
7.574887, 9:59:41,81,10,-0.09,16,1062,0,51.975177
7.574887, 9:59:46,0,0,-0.19,13,1055,0,51.975177
7.574887, 9:59:46,81,10,-0.19,13,1055,0,51.975158
7.574917, 9:59:51,0,0,-0.09,13,1047,0,51.975158
7.574917, 9:59:51,81,10,-0.09,13,1047,0,51.975166
7.574888, 9:59:56,0,0,-0.19,12,1036,0,51.975166
7.574888, 9:59:56,81,10,-0.19,12,1036,0,51.975185
7.574847, 10:0:1,0,0,-0.09,14,1030,0,51.975185
7.574847, 10:0:1,81,10,-0.09,14,1030,0,51.975204
7.574827, 10:0:6,0,0,-0.29,15,1024,0,51.975204
7.574827, 10:0:6,82,10,-0.29,15,1024,0,51.9752
7.574835, 10:0:11,0,0,-0.09,17,1021,0,51.9752
7.574835, 10:0:11,81,10,-0.09,17,1021,0,51.975223
7.574873, 10:0:16,0,0,-0.09,12,1023,0,51.975223
7.574873, 10:0:16,81,10,-0.09,12,1023,0,51.975223
7.574892, 10:0:21,0,0,-0.29,14,1027,0,51.975223
7.574892, 10:0:21,82,10,-0.29,14,1027,0,51.975227
7.574957, 10:0:26,0,0,-0.09,14,1029,0,51.975227
7.574957, 10:0:26,81,10,-0.09,14,1029,0,51.975223
7.574995, 10:0:31,0,0,-0.09,11,1030,0,51.975223
7.574995, 10:0:31,82,10,-0.09,11,1030,0,51.975196
7.57504, 10:0:36,0,0,-0.09,9,1033,0,51.975196
7.57504, 10:0:36,82,10,-0.09,9,1033,0,51.975204
7.57502, 10:0:41,0,0,0.11,13,1032,0,51.975204
7.57502, 10:0:41,82,10,0.11,13,1032,0,51.975212
7.575006, 10:0:46,0,0,-0.19,15,1025,0,51.975212
7.575006, 10:0:46,82,10,-0.19,15,1025,0,51.975204
7.575, 10:0:51,0,0,-0.09,13,1015,0,51.975204
7.575, 10:0:51,82,10,-0.09,13,1015,0,51.9752
7.574973, 10:0:56,0,0,-0.19,11,1003,0,51.9752
7.574973, 10:0:56,81,10,-0.19,11,1003,0,51.975215
7.574972, 10:1:1,0,0,-0.19,16,997,0,51.975215
7.574972, 10:1:1,82,10,-0.19,16,997,0,51.975215
7.574972, 10:1:6,0,0,-0.09,14,996,0,51.975215
7.574972, 10:1:6,81,10,-0.09,14,996,0,51.9752
7.574972, 10:1:11,0,0,0.01,18,1002,0,51.9752
7.574972, 10:1:11,82,10,0.01,18,1002,0,51.975215
7.574965, 10:1:16,0,0,-0.19,19,1013,0,51.975215
7.574965, 10:1:16,82,10,-0.19,19,1013,0,51.975193
7.574995, 10:1:21,0,0,0.01,23,1025,0,51.975193
7.574995, 10:1:21,82,10,0.01,23,1025,0,51.975189
7.575038, 10:1:26,0,0,0.2,16,1035,0,51.975189
7.575038, 10:1:26,82,10,0.2,16,1035,0,51.975185
7.575055, 10:1:31,0,0,0.01,21,1040,0,51.975173
7.57508, 10:1:34,0,0,0.01,22,1039,0,51.975173
7.57508, 10:1:34,82,10,0.01,22,1039,0,51.975162
7.575095, 10:1:39,0,0,-0.29,19,1033,0,51.975162
